wd,R80711,R80721,R80736,R80790
0,1.02439,0.97561,0.97561,1.02439
10,1.02439,0.97561,0.97561,1.02439
20,1.02439,0.97561,0.97561,1.02439
30,1.02439,0.97561,0.97561,1.02439
40,1.02439,0.97561,0.97561,1.02439
50,1.02439,0.97561,0.97561,1.02439
60,1.02439,0.97561,0.97561,1.02439
70,1.02439,0.97561,0.97561,1.02439
80,1.02439,0.97561,0.97561,1.02439
90,1.046005,0.968523,0.968523,1.016949
100,1.08134,0.956938,0.956938,1.004785
110,1.098592,0.938967,0.938967,1.023474
120,1.12037,0.925926,0.925926,1.027778
130,1.098592,0.938967,0.938967,1.023474
140,1.08134,0.956938,0.956938,1.004785
150,1.029412,0.980392,0.980392,1.009804
160,1.029412,0.980392,0.980392,1.009804
170,1.029412,0.980392,0.980392,1.009804
180,1.029412,0.980392,0.980392,1.009804
190,1.037037,0.958025,0.987654,1.017284
200,1.037037,0.958025,0.987654,1.017284
210,1.037037,0.958025,0.987654,1.017284
220,1.037037,0.958025,0.987654,1.017284
230,1.037037,0.958025,0.987654,1.017284
240,1.037037,0.958025,0.987654,1.017284
250,1.037037,0.958025,0.987654,1.017284
260,1.037037,0.958025,0.987654,1.017284
270,1.037037,0.958025,0.987654,1.017284
280,1.037037,0.958025,0.987654,1.017284
290,1.037037,0.958025,0.987654,1.017284
300,1.037037,0.958025,0.987654,1.017284
310,1.029412,0.980392,0.980392,1.009804
320,1.02439,0.995122,0.97561,1.004878
330,1.02439,0.995122,0.97561,1.004878
340,1.016949,0.987893,0.997579,0.997579
350,1.019417,0.941748,1.038835,1.0
